scenario_variation,model,row_wise,observations_attempted,correct,percent_error,run_time,input_tokens_used,output_tokens_used,cost,source_file
"K+U-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,1.2572781856758173,23.18,7972,1147,0.031400000000000004,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,1.2572781858625948,20.23,8306,1400,0.034765000000000004,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,11.963938644629756,13.68,5696,1013,0.024370000000000003,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,3.3939590848521153,24.94,8890,1652,0.038745,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,16.874401069259324,18.7,6441,1300,0.029102500000000003,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,False,1.2042776936594377,13.34,4242,876,0.019365,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,False,1.2042743035749328,21.85,12667,1356,0.045227500000000004,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,False,1.2042743036410093,17.67,6070,1209,0.027265000000000005,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,0.0,5.52,1852,233,0.006960000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,0.0,5.95,2605,200,0.008512500000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,0.0,4.72,1841,223,0.006832500000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,0.0,4.52,1832,223,0.006810000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,0.0,6.49,1826,218,0.006745000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,0.0,9.39,3958,379,0.013685000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,True,0.0,8.59,1819,220,0.0067475,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,True,0.0,5.66,1823,215,0.006707500000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,True,0.0,9.36,1831,223,0.0068075,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,True,0.0,8.21,1845,229,0.006902500000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,True,0.0,5.4,2609,198,0.0085025,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,True,0.0,4.88,1833,215,0.006732500000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,True,0.0,10.52,1836,230,0.00689,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,True,0.0,5.04,1831,216,0.0067375,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"apoastron-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,True,0.0,4.3,1840,222,0.006820000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_apo-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,1.1789697675719733e-07,13.19,3484,878,0.017490000000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_apo-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,1.1788473600675458e-07,14.32,5854,1090,0.025535000000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_apo-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,1.1788473600675458e-07,17.88,3136,608,0.013920000000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_apo-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,True,1.1789052197396558e-07,15.45,3488,915,0.01787,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_apo-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,True,1.1789052197396558e-07,23.24,3855,1165,0.0212875,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_apo-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,True,1.1789052197396558e-07,18.88,3217,765,0.0156925,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_apo-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,1.1788981678850564e-07,17.64,3708,914,0.018410000000000003,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_apo-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,1.1788981678850564e-07,15.76,3534,909,0.017925000000000003,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_apo-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,1.1788984015212176e-07,20.74,6826,1236,0.029425,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_peri-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,9.43220074149036e-07,14.03,3759,972,0.019117500000000003,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_peri-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,9.43220074149036e-07,13.05,3822,871,0.018265000000000003,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_peri-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,9.43220074149036e-07,10.1,3219,652,0.0145675,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_peri-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,9.432206002232743e-07,18.57,5514,1048,0.024265000000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_peri-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,9.432206002232743e-07,19.84,3264,601,0.014170000000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_peri-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,9.432206002232743e-07,11.19,3201,605,0.014052500000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_peri-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,True,9.43223529374735e-07,24.22,5515,1128,0.0250675,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_peri-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,True,9.43223529374735e-07,19.52,5059,1021,0.022857500000000003,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"area_swept_over_time_peri-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,True,9.43223529374735e-07,22.53,5243,1044,0.023547500000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star1-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,2.9350350316941096,6.86,1946,320,0.008065000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star1-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,2.9350350316941096,11.43,3474,672,0.015405,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star1-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,2.9350350316941096,6.38,1909,270,0.007472500000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star1-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,1.0481842002294457,11.4,4618,662,0.018165,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star1-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,1.0481534801106025,5.06,1905,266,0.0074225,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star1-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,1.0481247049763056,13.62,6204,766,0.023170000000000003,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star1-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,0.35721617437686987,9.71,2004,358,0.00859,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star1-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,0.35721617437686987,6.08,1969,323,0.0081525,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star1-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,0.3572252050419801,16.66,4595,760,0.0190875,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star2-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,1.2497433894529697,7.94,5346,505,0.018415,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star2-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,1.2497433894529697,4.86,1892,246,0.007190000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star2-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,1.2497433894529697,5.06,1910,261,0.007385000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star2-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,0.33861710535703543,5.83,1957,324,0.0081325,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star2-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,0.3386573474279396,12.49,4751,721,0.0190875,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star2-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,0.33861710535703543,4.99,1901,265,0.007402500000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star2-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,0.4272953708043049,11.34,2076,447,0.00966,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star2-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,0.4272953708043049,10.77,4492,499,0.016220000000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"avg_distance_COM_star2-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,0.4272953708043049,6.05,1914,275,0.007535,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,True,0.0,6.98,3436,509,0.013680000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,False,0.24222131371881997,7.28,2126,350,0.008815,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,False,0.24222131371881997,7.37,2183,407,0.009527500000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,0.7468281400983893,10.04,3459,674,0.015387500000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,True,0.0,15.27,3489,555,0.0142725,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,True,0.0,10.04,3514,673,0.015515000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,0.8968982070653497,9.42,3205,558,0.0135925,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,0.6136965156394222,10.79,3664,801,0.017170000000000005,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,0.7042753560523565,12.71,3859,796,0.0176075,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,0.9999844110063623,14.88,3156,684,0.014730000000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,0.0,15.62,4044,895,0.01906,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,1.8503107133901176e-16,10.58,3959,775,0.0176475,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,False,0.10953551105028125,10.73,3595,718,0.0161675,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,False,0.10953551105028125,8.16,2028,449,0.00956,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,True,0.0,9.26,3056,475,0.012390000000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-3.1 M, 0.18 M Elliptical",gpt-4o-2024-11-20,False,,True,1.1937488480192392e-16,11.7,3300,749,0.01574,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-3.1 M, 0.18 M Elliptical",gpt-4o-2024-11-20,False,,False,0.6281312218061865,8.34,3349,572,0.0140925,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"eccentricity-3.1 M, 0.18 M Elliptical",gpt-4o-2024-11-20,False,,False,0.07452656341207943,8.68,2217,423,0.0097725,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,,18.39,6039,1024,0.025337500000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,,8.36,2275,320,0.008887500000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,,8.67,2188,308,0.00855,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,,17.46,3992,783,0.01781,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,,8.86,2288,326,0.00898,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,False,,9.01,2205,333,0.0088425,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,False,,18.03,5855,1037,0.025007500000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,False,,9.72,2392,324,0.00922,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,False,,7.68,2399,281,0.008807500000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,,14.79,2460,662,0.01277,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,,13.46,2548,750,0.01387,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,,17.33,2518,717,0.013465000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-10.1 M, 5.6 M, Unbound",gpt-4o-2024-11-20,False,,True,,20.59,6284,1114,0.026850000000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-10.1 M, 5.6 M, Unbound",gpt-4o-2024-11-20,False,,True,,10.05,2367,353,0.009447500000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-10.1 M, 5.6 M, Unbound",gpt-4o-2024-11-20,False,,True,,6.26,2438,327,0.009365000000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,False,,14.21,2382,581,0.011765000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,False,,13.16,3867,745,0.0171175,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, Proper Motion2",gpt-4o-2024-11-20,False,,False,,10.58,2554,511,0.011495000000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, cgs",gpt-4o-2024-11-20,False,,False,,14.96,2386,585,0.011815,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, cgs",gpt-4o-2024-11-20,False,,False,,16.99,5967,945,0.0243675,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, cgs",gpt-4o-2024-11-20,False,,False,,11.24,2488,687,0.013090000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, yrAUMsun",gpt-4o-2024-11-20,False,,False,,29.56,8197,1228,0.0327725,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, yrAUMsun",gpt-4o-2024-11-20,False,,False,,16.88,4243,917,0.019777500000000003,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"is_bound-9.6 M, 3.1 M, yrAUMsun",gpt-4o-2024-11-20,False,,False,,9.68,3610,445,0.013475,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"kepler_3rd_law-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,,15.81,3689,867,0.017892500000000002,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"kepler_3rd_law-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,,18.4,4691,853,0.020257500000000005,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"kepler_3rd_law-0.18 M, 0.63 M",gpt-4o-2024-11-20,False,,True,,11.03,3424,778,0.01634,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"kepler_3rd_law-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,,12.52,3443,824,0.0168475,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"kepler_3rd_law-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,,19.7,6097,1037,0.025612500000000003,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"kepler_3rd_law-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,,19.71,5834,954,0.024125,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"kepler_3rd_law-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,,19.28,5209,961,0.0226325,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"kepler_3rd_law-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,,21.05,3482,751,0.016215,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"kepler_3rd_law-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,True,,17.76,6574,1015,0.026585000000000004,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
